,precision_90,recall_90,F1_90,precision_99,recall_99,F1_99,precision_99.9,recall_99.9,F1_99.9
0,0.00873965,0.322271386,0.017017797,0.016196761,0.059734513,0.025483719,0.014,0.005162242,0.007543103
1,0.009819804,0.362094395,0.019121055,0.020595881,0.075958702,0.032405223,0.026,0.009587021,0.014008621
2,0.01196,0.44100295,0.023288418,0.0356,0.131268437,0.056010069,0.026,0.009587021,0.014008621
3,0.00626,0.230825959,0.012189423,0.0064,0.02359882,0.010069226,0.002,0.000737463,0.001077586
4,0.006899862,0.254424779,0.013435364,0.0048,0.017699115,0.007551919,0.004,0.001474926,0.002155172
5,0.01396,0.514749263,0.027182802,0.057388522,0.211651917,0.090294164,0.08,0.029498525,0.043103448
6,0.00764,0.281710914,0.014876548,0.0112,0.041297935,0.017621145,0.024,0.008849558,0.012931034
7,0.006879862,0.253687316,0.013396421,0.0074,0.027286136,0.011642542,0.007984032,0.002949853,0.004308024
8,0.01125955,0.41519174,0.02192453,0.0244,0.089970501,0.038388924,0.032,0.01179941,0.017241379
9,0.00778,0.286873156,0.015149155,0.012,0.044247788,0.018879799,0.005988024,0.002212389,0.003231018
10,0.007799844,0.287610619,0.015187803,0.0094,0.034660767,0.014789176,0.008,0.002949853,0.004310345
11,0.008699826,0.32079646,0.016940242,0.0132,0.048672566,0.020767778,0.012,0.004424779,0.006465517
12,0.00947981,0.349557522,0.018459022,0.0178,0.065634218,0.028005035,0.015968064,0.005899705,0.008616047
13,0.00956,0.352507375,0.018615157,0.0216,0.079646018,0.033983638,0.018,0.006637168,0.009698276
14,0.00596,0.219764012,0.011605265,0.0074,0.027286136,0.011642542,0,0,0
15,0.013619728,0.502212389,0.026520241,0.0478,0.176253687,0.075204531,0.074,0.027286136,0.03987069
16,0.0106,0.390855457,0.020640237,0.0234,0.086283186,0.036815607,0.025896414,0.009587021,0.013993541
17,0.01048,0.386430678,0.020406574,0.0284,0.104719764,0.04468219,0.015968064,0.005899705,0.008616047
18,0.00898,0.331120944,0.017485785,0.0166,0.06120944,0.026117055,0.013944223,0.005162242,0.007534984
19,0.00924,0.340707965,0.017992055,0.0132,0.048672566,0.020767778,0.01,0.003687316,0.005387931
20,0.010759785,0.396755162,0.02095138,0.02,0.073746313,0.031466331,0.027944112,0.010324484,0.015078083
21,0.0108,0.398230088,0.021029675,0.0288,0.10619469,0.045311517,0.022,0.008112094,0.011853448
22,0.0109,0.401917404,0.021224394,0.029994001,0.110619469,0.047192072,0.055776892,0.020648968,0.030139935
23,0.01048,0.386430678,0.020406574,0.019196161,0.07079646,0.030202926,0.02,0.007374631,0.010775862
24,0.01046,0.385693215,0.02036763,0.0218,0.080383481,0.034298301,0.011976048,0.004424779,0.006462036
25,0.00694,0.255899705,0.013513514,0.00819836,0.030235988,0.012899166,0.005988024,0.002212389,0.003231018
26,0.0081,0.298672566,0.015772256,0.0152,0.056047198,0.023914412,0.004,0.001474926,0.002155172
27,0.00832,0.306784661,0.016200639,0.016593363,0.06120944,0.026108839,0.018,0.006637168,0.009698276
28,0.01218,0.449115044,0.0237168,0.0352,0.12979351,0.055380743,0.035856574,0.013274336,0.019375673
29,0.00792,0.292035398,0.015421762,0.0186,0.068584071,0.029263688,0.018,0.006637168,0.009698276
30,0.0079,0.291297935,0.015382818,0.01219756,0.044985251,0.019191443,0.001996008,0.000737463,0.001077006
31,0.00992,0.365781711,0.019316146,0.0152,0.056047198,0.023914412,0.014,0.005162242,0.007543103
32,0.01214,0.447640118,0.023638913,0.0376,0.138643068,0.059156702,0.052,0.019174041,0.028017241
33,0.005739885,0.211651917,0.011176665,0.0069986,0.025811209,0.011011483,0.001996008,0.000737463,0.001077006
34,0.007679846,0.283185841,0.014954145,0.0138,0.050884956,0.021711768,0.008,0.002949853,0.004310345
35,0.0100198,0.369469027,0.019510485,0.0194,0.071533923,0.030522341,0.01,0.003687316,0.005387931
36,0.006439871,0.237463127,0.012539673,0.00779844,0.028761062,0.012269939,0.007984032,0.002949853,0.004308024
37,0.008419832,0.310471976,0.016395039,0.0122,0.044985251,0.019194462,0.007984032,0.002949853,0.004308024
38,0.00842,0.310471976,0.016395358,0.0132,0.048672566,0.020767778,0.01,0.003687316,0.005387931
39,0.008,0.294985251,0.015577537,0.013397321,0.049410029,0.021079125,0.004,0.001474926,0.002155172
40,0.01086,0.400442478,0.021146507,0.020195961,0.074483776,0.031775995,0.012,0.004424779,0.006465517
41,0.009119818,0.336283186,0.017758047,0.025,0.092182891,0.039332914,0.02,0.007374631,0.010775862
42,0.00596,0.219764012,0.011605265,0.0036,0.013274336,0.00566394,0,0,0
43,0.007739845,0.28539823,0.015070974,0.0114,0.042035398,0.017935809,0.006,0.002212389,0.003232759
44,0.00849983,0.313421829,0.016550811,0.0192,0.07079646,0.030207678,0.018,0.006637168,0.009698276
45,0.00832,0.306784661,0.016200639,0.012195122,0.044985251,0.019188424,0.004,0.001474926,0.002155172
46,0.0085,0.313421829,0.016551133,0.0172,0.063421829,0.027061045,0.018,0.006637168,0.009698276
47,0.009179816,0.338495575,0.017874876,0.0226,0.083333333,0.035556954,0.012,0.004424779,0.006465517
48,0.009939801,0.366519174,0.019354713,0.0258,0.095132743,0.040591567,0.024,0.008849558,0.012931034
49,0.00898,0.331120944,0.017485785,0.016196761,0.059734513,0.025483719,0.022,0.008112094,0.011853448
50,0.00862,0.317846608,0.016784796,0.014397121,0.053097345,0.022652194,0.018,0.006637168,0.009698276
51,0.00718,0.264749263,0.01398084,0.0062,0.022861357,0.009754563,0.012,0.004424779,0.006465517
52,0.01192,0.439528024,0.02321053,0.03,0.110619469,0.047199497,0.03992016,0.014749263,0.021540118
53,0.00934,0.34439528,0.018186775,0.0182,0.067109145,0.028634361,0.022,0.008112094,0.011853448
54,0.00856,0.315634218,0.016667965,0.0122,0.044985251,0.019194462,0.006,0.002212389,0.003232759
55,0.01004,0.37020649,0.019549809,0.019996001,0.073746313,0.031461381,0.023952096,0.008849558,0.012924071
56,0.007939841,0.292772861,0.015460405,0.0102,0.037610619,0.016047829,0.008,0.002949853,0.004310345
57,0.007139857,0.263274336,0.013902681,0.0082,0.030235988,0.012901196,0.008,0.002949853,0.004310345
58,0.01482,0.546460177,0.028857388,0.0644,0.237463127,0.101321586,0.092,0.033923304,0.049568966
59,0.00756,0.278761062,0.014720773,0.018396321,0.067846608,0.028944471,0.01,0.003687316,0.005387931
60,0.010799784,0.398230088,0.021029266,0.0222,0.081858407,0.034927627,0.019920319,0.007374631,0.010764263
61,0.00614,0.22640118,0.01195576,0.006,0.022123894,0.009439899,0.002,0.000737463,0.001077586
62,0.01074,0.396017699,0.020912844,0.030593881,0.112831858,0.048135913,0.048,0.017699115,0.025862069
63,0.01084,0.399705015,0.021107563,0.026394721,0.097345133,0.041529023,0.022,0.008112094,0.011853448
64,0.006799864,0.250737463,0.013240649,0.008,0.029498525,0.012586532,0.003992016,0.001474926,0.002154012
65,0.00724,0.266961652,0.014097671,0.0114,0.042035398,0.017935809,0.015968064,0.005899705,0.008616047
66,0.00748,0.275811209,0.014564997,0.010595762,0.039085546,0.016671909,0.001996008,0.000737463,0.001077006
67,0.00668,0.246312684,0.013007244,0.008596561,0.031710914,0.013526266,0.006,0.002212389,0.003232759
68,0.0107,0.394542773,0.020834956,0.024385369,0.089970501,0.038370813,0.016,0.005899705,0.00862069
69,0.008539829,0.314896755,0.016628697,0.0126,0.046460177,0.019823789,0.015968064,0.005899705,0.008616047
70,0.0082,0.302359882,0.015966976,0.0156,0.057522124,0.024543738,0.018,0.006637168,0.009698276
71,0.009759805,0.359882006,0.019004225,0.026994601,0.099557522,0.042472865,0.03,0.011061947,0.016163793
72,0.01064,0.392330383,0.020718124,0.0246,0.090707965,0.038703587,0.027944112,0.010324484,0.015078083
73,0.00874,0.322271386,0.017018459,0.0124,0.045722714,0.019509125,0.01,0.003687316,0.005387931
74,0.0095,0.350294985,0.018498325,0.0216,0.079646018,0.033983638,0.03,0.011061947,0.016163793
75,0.00697986,0.257374631,0.013591137,0.008,0.029498525,0.012586532,0.024,0.008849558,0.012931034
76,0.005939881,0.219026549,0.011566096,0.00839832,0.030973451,0.01321378,0.012,0.004424779,0.006465517
77,0.00752,0.277286136,0.014642885,0.013997201,0.051622419,0.022022967,0.00998004,0.003687316,0.00538503
78,0.01149954,0.424041298,0.022391838,0.024185489,0.089233038,0.038056298,0.03,0.011061947,0.016163793
79,0.01022,0.376843658,0.019900304,0.024985009,0.092182891,0.039314358,0.031936128,0.01179941,0.017232095
80,0.008619655,0.317846608,0.016784143,0.017196561,0.063421829,0.027056788,0.017964072,0.006637168,0.009693053
81,0.007579848,0.279498525,0.014759429,0.009196321,0.033923304,0.014469959,0.016,0.005899705,0.00862069
82,0.0091,0.335545723,0.017719449,0.0198,0.07300885,0.031151668,0.02,0.007374631,0.010775862
83,0.00578,0.213126844,0.011254771,0.0056,0.020648968,0.008810573,0.004,0.001474926,0.002155172
84,0.005159897,0.190265487,0.010047316,0.0042,0.015486726,0.00660793,0.002,0.000737463,0.001077586
85,0.01122,0.413716814,0.021847496,0.034,0.125368732,0.053492763,0.05988024,0.022123894,0.032310178
86,0.00774,0.28539823,0.015071267,0.016396721,0.060471976,0.025798333,0.016,0.005899705,0.00862069
87,0.01032,0.380530973,0.020095023,0.024,0.088495575,0.037759597,0.023856859,0.008849558,0.012910167
88,0.00942,0.347345133,0.01834255,0.0132,0.048672566,0.020767778,0.022,0.008112094,0.011853448
89,0.0072,0.265486726,0.014019783,0.01179764,0.043510324,0.018562215,0.007984032,0.002949853,0.004308024
